Ma_San_Pham,Trong_Luong,Muc_Beo,Ti_Le_Hien_Thi,Loai_Hang,Gia_Niem_Yet,Ma_Cua_Hang,Nam_Mo_Cua,Quy_Mo,Loai_Do_Thi,Kieu_Cua_Hang,Doanh_So
FDO31,,BeoThuong,0.028842332,Rau_Cu_Qua,81.496,OUT027,1985,Vua,Do_Thi_3,Sieu_Thi_3,1997.4
FDT34,9.3,BeoThap,0.175336471,Do_An_Vat,107.0964,OUT017,2007,,Do_Thi_2,Sieu_Thi_1,1472.7496
FDN22,18.85,BeoThuong,0.139087683,Do_An_Vat,251.7724,OUT017,2007,,Do_Thi_2,Sieu_Thi_1,3020.0688
FDY49,17.2,BeoThuong,0.012036432,Do_Hop,165.7184,OUT045,2002,,Do_Thi_2,Sieu_Thi_1,1816.3024
FDT12,6.215,BeoThuong,0.049722335,Do_Nuong,224.5062,OUT045,2002,,Do_Thi_2,Sieu_Thi_1,4514.124
NCL55,12.15,BeoThap,0.06479182,Khac,254.004,OUT045,2002,,Do_Thi_2,Sieu_Thi_1,2277.036
DRI47,14.7,BeoThap,0.020952705,Do_Uong_Con,143.5128,OUT049,1999,Vua,Do_Thi_1,Sieu_Thi_1,2444.8176
FDD34,7.945,BeoThap,0.015900971,Do_An_Vat,163.821,OUT049,1999,Vua,Do_Thi_1,Sieu_Thi_1,1794.331
FDQ46,7.51,BeoThap,0.104023565,Do_An_Vat,112.4544,OUT045,2002,,Do_Thi_2,Sieu_Thi_1,2013.3792
DRK12,9.5,BeoThap,0.042056944,Nuoc_Giai_Khat,31.89,OUT018,2009,Vua,Do_Thi_3,Sieu_Thi_2,366.19
FDF58,,BeoThap,0.009534758,Do_An_Vat,64.551,OUT027,1985,Vua,Do_Thi_3,Sieu_Thi_3,1201.769
FDQ44,20.5,BeoThap,0.036110222,Rau_Cu_Qua,120.1756,OUT013,1987,Lon,Do_Thi_3,Sieu_Thi_1,2059.9852
DRB13,6.115,BeoThuong,0.007055292,Nuoc_Giai_Khat,188.653,OUT049,1999,Vua,Do_Thi_1,Sieu_Thi_1,3605.307
FDV59,13.35,BThap,0.0,Banh_Mi,217.6166,OUT018,2009,Vua,Do_Thi_3,Sieu_Thi_2,3265.749
FDD05,19.35,BeoThap,0.016597651,Do_Dong_Lanh,121.5098,OUT013,1987,Lon,Do_Thi_3,Sieu_Thi_1,2892.2352
DRF27,8.93,beothap,0.028578012,Sua_Bo,152.234,OUT017,2007,,Do_Thi_2,Sieu_Thi_1,3828.35
FDJ09,15.0,BeoThap,0.058632705,Do_An_Vat,46.4744,OUT018,2009,Vua,Do_Thi_3,Sieu_Thi_2,543.2928
DRN36,15.2,BeoThap,0.0,Nuoc_Giai_Khat,96.6752,OUT046,1997,Nho,Do_Thi_1,Sieu_Thi_1,479.376
FDZ13,7.84,BeoThuong,0.153806271,Do_Hop,51.335,OUT045,2002,,Do_Thi_2,Sieu_Thi_1,1198.44
DRJ24,11.8,BeoThap,0.113307794,Nuoc_Giai_Khat,187.0924,OUT035,2004,Nho,Do_Thi_2,Sieu_Thi_1,1850.924
FDP08,20.5,BeoThuong,0.112316501,Rau_Cu_Qua,193.9478,OUT013,1987,Lon,Do_Thi_3,Sieu_Thi_1,4456.1994
NCQ30,,BeoThap,0.050901814,Do_Gia_Dung,120.5414,OUT019,1985,Nho,Do_Thi_1,Tap_Hoa,365.5242
DRI23,18.85,BeoThap,0.137972993,Do_Uong_Con,158.4578,OUT017,2007,,Do_Thi_2,Sieu_Thi_1,1444.1202
